entry_time,exit_time,id,side,entry_px,exit_px,pnl_pct,pnl_abs,mfe_pct,exit_reason
2025-06-24 16:56:00+09:00,2025-06-24 17:01:00+09:00,1,1,3329.66,3327.26,-0.0007207943153353905,-2.399999999999636,3.9043025414039016e-05,STOP_LOSS
2025-06-24 22:40:00+09:00,2025-06-24 22:42:00+09:00,2,-1,3297.17,3300.44,-0.0009917595998993022,-3.269999999999982,0.0,STOP_LOSS
2025-06-25 09:07:00+09:00,2025-06-25 09:45:00+09:00,1,1,3325.04,3324.07,-0.0002917258138247359,-0.9699999999997999,0.001230060390250988,STOP_LOSS
2025-06-25 13:19:00+09:00,2025-06-25 13:20:00+09:00,2,-1,3328.01,3328.99,-0.00029447026901949317,-0.9799999999995634,0.0,STOP_LOSS
2025-06-25 13:21:00+09:00,2025-06-25 13:22:00+09:00,3,-1,3328.79,3328.61,5.407370245639896e-05,0.1799999999998363,5.407370245639896e-05,SL
2025-06-25 14:11:00+09:00,2025-06-25 14:12:00+09:00,4,1,3329.28,3329.42,4.205113417912361e-05,0.13999999999987267,4.205113417912361e-05,SL
2025-06-25 14:23:00+09:00,2025-06-25 14:27:00+09:00,5,1,3328.36,3328.96,0.0001802689612902177,0.599999999999909,0.00020430482279556187,SL
2025-06-25 14:28:00+09:00,2025-06-25 14:29:00+09:00,6,1,3329.87,3329.95,2.4024961935429083e-05,0.07999999999992724,2.4024961935429083e-05,SL
2025-06-25 14:31:00+09:00,2025-06-25 14:32:00+09:00,7,1,3330.27,3330.56,8.708002654438338e-05,0.2899999999999636,8.708002654438338e-05,SL
2025-06-25 14:33:00+09:00,2025-06-25 15:10:00+09:00,8,1,3331.04,3329.75,-0.00038726643931023455,-1.2899999999999636,0.0006934771122532138,STOP_LOSS
2025-06-25 16:49:00+09:00,2025-06-25 16:51:00+09:00,1,1,3333.82,3332.1,-0.0005159246749975267,-1.7200000000002547,0.0,STOP_LOSS
2025-06-26 08:51:00+09:00,2025-06-26 09:00:00+09:00,1,1,3339.58,3337.9,-0.0005030572706747065,-1.6799999999998363,2.0960719611497167e-05,STOP_LOSS
2025-06-26 13:46:00+09:00,2025-06-26 13:48:00+09:00,2,-1,3334.43,3335.32,-0.00026691218589094013,-0.8900000000003274,0.0,STOP_LOSS
2025-06-26 13:52:00+09:00,2025-06-26 13:53:00+09:00,3,-1,3335.04,3335.03,2.998464785958649e-06,0.009999999999763531,2.998464785958649e-06,SL
2025-06-26 13:58:00+09:00,2025-06-26 14:20:00+09:00,4,-1,3333.76,3334.84,-0.0003239585333077148,-1.0799999999999272,0.00020097427529278434,STOP_LOSS
2025-06-26 16:49:00+09:00,2025-06-26 18:06:00+09:00,1,1,3345.78,3344.3,-0.0004423482715540227,-1.4800000000000182,0.001234390784809418,STOP_LOSS
2025-06-26 21:58:00+09:00,2025-06-26 22:52:00+09:00,2,-1,3324.73,3327.87,-0.000944437593428601,-3.1399999999998727,0.004156728516300621,STOP_LOSS
2025-06-27 08:49:00+09:00,2025-06-27 10:30:00+09:00,1,-1,3320.3,3321.63,-0.00040056621389631276,-1.3299999999999272,0.0020660783664127116,STOP_LOSS
2025-06-27 16:49:00+09:00,2025-06-27 17:46:00+09:00,1,-1,3286.6,3289.25,-0.000806304387512959,-2.650000000000091,0.0012657457554919535,STOP_LOSS
2025-06-27 22:54:00+09:00,2025-06-27 23:15:00+09:00,2,1,3273.45,3269.55,-0.0011914035650459412,-3.899999999999636,0.000830927614596299,STOP_LOSS
2025-06-30 08:49:00+09:00,2025-06-30 08:53:00+09:00,1,-1,3266.39,3268.18,-0.0005480055963923364,-1.7899999999999636,0.0003857469561196806,STOP_LOSS
2025-06-30 16:56:00+09:00,2025-06-30 16:59:00+09:00,1,-1,3291.45,3293.03,-0.0004800315970166286,-1.580000000000382,0.00028558841847805676,STOP_LOSS
2025-07-01 08:50:00+09:00,2025-07-01 09:02:00+09:00,1,1,3311.12,3309.85,-0.00038355601729927693,-1.2699999999999818,0.000295972359805751,STOP_LOSS
2025-07-02 08:52:00+09:00,2025-07-02 09:06:00+09:00,1,-1,3338.22,3340.81,-0.0007758625854497744,-2.5900000000001455,0.0008837044892187508,STOP_LOSS
2025-07-02 14:11:00+09:00,2025-07-02 14:13:00+09:00,2,-1,3338.45,3339.37,-0.00027557698932141345,-0.9200000000000728,0.0,STOP_LOSS
2025-07-02 16:49:00+09:00,2025-07-02 16:59:00+09:00,1,1,3335.96,3334.51,-0.0004346574898979059,-1.449999999999818,1.7985827168175106e-05,STOP_LOSS
2025-07-03 08:49:00+09:00,2025-07-03 13:34:00+09:00,1,-1,3350.3,3348.8,0.0004477210996030206,1.5,0.0024087395158642996,SL
2025-07-03 13:50:00+09:00,2025-07-03 13:53:00+09:00,2,1,3351.49,3350.24,-0.00037296844090240464,-1.25,0.0,STOP_LOSS
2025-07-03 16:49:00+09:00,2025-07-03 17:35:00+09:00,1,-1,3354.35,3356.24,-0.0005634474637410743,-1.8899999999998727,0.0006648083831442808,STOP_LOSS
2025-07-03 22:15:00+09:00,2025-07-03 23:22:00+09:00,2,1,3328.82,3324.84,-0.001195618867947206,-3.980000000000018,0.00282983159197542,STOP_LOSS
2025-07-04 08:49:00+09:00,2025-07-04 08:52:00+09:00,1,1,3331.32,3330.19,-0.00033920487974740016,-1.1300000000001091,0.0,STOP_LOSS
2025-07-04 10:08:00+09:00,2025-07-04 10:15:00+09:00,2,-1,3328.67,3330.04,-0.00041157579453652383,-1.3699999999998909,0.0,STOP_LOSS
2025-07-04 14:11:00+09:00,2025-07-04 14:20:00+09:00,3,1,3341.6,3341.36,-7.18218817332361e-05,-0.23999999999978172,0.0,SL
2025-07-04 14:31:00+09:00,2025-07-04 15:04:00+09:00,4,-1,3340.1,3341.33,-0.00036825244753151647,-1.2300000000000182,0.0004939971857130298,STOP_LOSS
2025-07-04 16:11:00+09:00,2025-07-04 16:22:00+09:00,5,-1,3338.56,3339.72,-0.0003474551902616261,-1.1599999999998545,0.000491229751749219,STOP_LOSS
2025-07-04 16:49:00+09:00,2025-07-04 18:06:00+09:00,1,1,3342.37,3340.86,-0.0004517752373315233,-1.5099999999997635,0.0004667346822763325,STOP_LOSS
2025-07-05 00:32:00+09:00,2025-07-05 00:34:00+09:00,2,-1,3330.81,3331.87,-0.0003182409083676179,-1.0599999999999454,0.0,STOP_LOSS
2025-07-07 08:49:00+09:00,2025-07-07 08:51:00+09:00,1,-1,3326.44,3327.48,-0.00031264655307174143,-1.0399999999999636,0.0,STOP_LOSS
2025-07-07 16:49:00+09:00,2025-07-07 17:11:00+09:00,1,-1,3303.94,3305.98,-0.0006174446267183919,-2.0399999999999636,0.0009080068039976513,STOP_LOSS
2025-07-08 08:51:00+09:00,2025-07-08 09:11:00+09:00,1,-1,3334.89,3336.07,-0.00035383475916755605,-1.180000000000291,0.0005007661422116091,STOP_LOSS
2025-07-08 13:23:00+09:00,2025-07-08 13:27:00+09:00,2,-1,3330.45,3329.31,0.0003422960861144508,1.1399999999998727,0.0003422960861144508,SL
2025-07-08 13:30:00+09:00,2025-07-08 14:04:00+09:00,3,-1,3330.44,3331.4,-0.0002882502011746305,-0.9600000000000364,0.0008917740598840557,STOP_LOSS
2025-07-08 16:49:00+09:00,2025-07-08 16:51:00+09:00,1,-1,3332.88,3334.37,-0.00044706080026877106,-1.4899999999997817,0.0,STOP_LOSS
2025-07-09 08:49:00+09:00,2025-07-09 09:00:00+09:00,1,-1,3300.84,3303.85,-0.0009118890948969848,-3.0099999999997635,0.000309012251426904,STOP_LOSS
2025-07-09 13:41:00+09:00,2025-07-09 13:44:00+09:00,2,1,3296.2,3295.37,-0.00025180510891327203,-0.8299999999999272,6.06759298585699e-06,STOP_LOSS
2025-07-09 16:51:00+09:00,2025-07-09 16:57:00+09:00,1,1,3294.24,3291.26,-0.000904609257370308,-2.9799999999995634,0.0004978386517073217,STOP_LOSS
2025-07-10 09:10:00+09:00,2025-07-10 09:16:00+09:00,1,1,3318.41,3317.38,-0.00031038961430315885,-1.0299999999997453,0.00015067457005011437,STOP_LOSS
2025-07-10 13:15:00+09:00,2025-07-10 13:21:00+09:00,2,-1,3315.88,3315.76,3.6189488159972875e-05,0.11999999999989086,8.745792972000302e-05,SL
2025-07-10 13:39:00+09:00,2025-07-10 14:20:00+09:00,3,1,3317.09,3323.82,0.0020288867652068585,6.730000000000018,0.002152489079283309,SL
2025-07-10 14:21:00+09:00,2025-07-10 14:22:00+09:00,4,1,3324.56,3323.71,-0.0002556729311547721,-0.849999999999909,0.0,STOP_LOSS
2025-07-10 16:02:00+09:00,2025-07-10 16:24:00+09:00,5,1,3326.91,3325.87,-0.00031260238479549,-1.0399999999999636,0.0006011584322990403,STOP_LOSS
2025-07-10 16:49:00+09:00,2025-07-10 17:06:00+09:00,1,-1,3320.99,3322.31,-0.0003974718382169666,-1.3200000000001637,0.00028003697692550604,STOP_LOSS
2025-07-11 09:10:00+09:00,2025-07-11 12:27:00+09:00,1,1,3326.45,3335.77,0.0028017856874446223,9.320000000000164,0.0028318477656360604,SL
2025-07-11 12:58:00+09:00,2025-07-11 13:02:00+09:00,2,-1,3333.65,3334.17,-0.0001559851814077608,-0.5199999999999818,7.199316064980921e-05,SL
2025-07-11 13:23:00+09:00,2025-07-11 13:26:00+09:00,3,-1,3332.21,3332.44,-6.902326083890816e-05,-0.2300000000000182,0.0,SL
2025-07-11 13:27:00+09:00,2025-07-11 13:41:00+09:00,4,-1,3331.68,3331.04,0.00019209527925847402,0.6399999999998727,0.00023111463285789208,SL
2025-07-11 13:42:00+09:00,2025-07-11 13:47:00+09:00,5,-1,3330.54,3329.92,0.0001861559987269004,0.6199999999998909,0.0001861559987269004,SL
