entry_time,exit_time,id,side,entry_px,exit_px,pnl_pct,pnl_abs,mfe_pct,exit_reason
2025-06-05 10:50:00+09:00,2025-06-05 10:53:00+09:00,1,1,142.944,142.89,-0.0003777703156481003,-0.054000000000002046,8.394895903291118e-05,STOP_LOSS
2025-06-05 12:35:00+09:00,2025-06-05 12:38:00+09:00,2,-1,142.826,142.907,-0.0005671236329521046,-0.08100000000001728,3.500763166367085e-05,STOP_LOSS
2025-06-05 13:35:00+09:00,2025-06-05 13:40:00+09:00,3,1,143.04,142.998,-0.00029362416107383665,-0.04200000000000159,0.00012583892617450143,STOP_LOSS
2025-06-05 15:14:00+09:00,2025-06-05 15:17:00+09:00,4,-1,143.089,143.132,-0.00030051226858812604,-0.043000000000006366,0.0,STOP_LOSS
2025-06-05 16:34:00+09:00,2025-06-05 16:35:00+09:00,5,-1,143.167,143.169,-1.3969699721371193e-05,-0.0020000000000095497,0.0,SL
2025-06-05 16:49:00+09:00,2025-06-05 17:23:00+09:00,1,1,143.287,143.343,0.00039082401055213085,0.055999999999983174,0.0005862360158283947,SL
2025-06-05 18:04:00+09:00,2025-06-05 18:05:00+09:00,2,-1,143.251,143.299,-0.0003350761949305891,-0.04800000000000182,0.0,STOP_LOSS
2025-06-05 19:09:00+09:00,2025-06-05 19:20:00+09:00,3,-1,143.179,143.159,0.00013968528904385581,0.020000000000010232,0.0002025436691134619,SL
2025-06-05 20:22:00+09:00,2025-06-05 20:44:00+09:00,4,1,143.205,143.284,0.0005516567158966467,0.07899999999997931,0.0007681296044131505,SL
2025-06-05 21:24:00+09:00,2025-06-05 21:49:00+09:00,5,-1,143.237,143.335,-0.0006841807633503438,-0.09800000000001319,0.002974091889665294,STOP_LOSS
2025-06-06 08:59:00+09:00,2025-06-06 11:42:00+09:00,1,1,143.557,143.884,0.002277840857638417,0.3269999999999982,0.0023474995994623568,SL
2025-06-06 12:03:00+09:00,2025-06-06 12:04:00+09:00,2,-1,143.791,143.757,0.00023645429825226765,0.033999999999991815,0.00023645429825226765,SL
2025-06-06 12:05:00+09:00,2025-06-06 12:06:00+09:00,3,-1,143.775,143.776,-6.955312119664578e-06,-0.0010000000000047748,0.0,SL
2025-06-06 12:07:00+09:00,2025-06-06 12:10:00+09:00,4,-1,143.766,143.806,-0.0002782299013676423,-0.040000000000020464,0.0,STOP_LOSS
2025-06-06 15:23:00+09:00,2025-06-06 15:24:00+09:00,5,1,144.029,143.987,-0.00029160794006763635,-0.04200000000000159,0.0,STOP_LOSS
2025-06-06 16:49:00+09:00,2025-06-06 16:56:00+09:00,6,-1,143.866,143.901,-0.00024328194291908155,-0.03499999999999659,0.00040315293398037854,STOP_LOSS
2025-06-06 16:49:00+09:00,2025-06-06 16:56:00+09:00,1,-1,143.866,143.901,-0.00024328194291908155,-0.03499999999999659,0.00040315293398037854,STOP_LOSS
2025-06-06 17:32:00+09:00,2025-06-06 17:53:00+09:00,2,1,143.956,144.037,0.0005626719275335331,0.08100000000001728,0.0005696184945401516,SL
2025-06-06 18:44:00+09:00,2025-06-06 18:45:00+09:00,3,-1,144.015,144.13,-0.0007985279311183496,-0.1150000000000091,0.0,STOP_LOSS
2025-06-06 21:10:00+09:00,2025-06-06 21:18:00+09:00,4,1,144.281,144.246,-0.00024258218337824515,-0.03499999999999659,0.0002079275857528097,STOP_LOSS
2025-06-09 09:08:00+09:00,2025-06-09 09:15:00+09:00,1,-1,144.646,144.709,-0.0004355460918381193,-0.0630000000000166,0.0,STOP_LOSS
2025-06-09 09:29:00+09:00,2025-06-09 09:32:00+09:00,2,1,144.805,144.78,-0.00017264597216950852,-0.025000000000005684,0.0,SL
2025-06-09 09:33:00+09:00,2025-06-09 09:34:00+09:00,3,1,144.765,144.7,-0.0004490035574897091,-0.06499999999999773,0.0,STOP_LOSS
2025-06-09 11:54:00+09:00,2025-06-09 12:04:00+09:00,4,1,144.466,144.417,-0.0003391801531156576,-0.049000000000006594,0.000200739274292888,STOP_LOSS
2025-06-09 15:05:00+09:00,2025-06-09 15:29:00+09:00,5,-1,144.395,144.284,0.0007687246788324971,0.11100000000001842,0.000900308182416454,SL
2025-06-09 15:30:00+09:00,2025-06-09 15:35:00+09:00,6,-1,144.269,144.257,8.31779522974475e-05,0.012000000000000455,8.31779522974475e-05,SL
2025-06-09 15:38:00+09:00,2025-06-09 15:41:00+09:00,7,-1,144.256,144.262,-4.159272404614177e-05,-0.006000000000000227,9.011756876667334e-05,SL
